Canzone,Artista,Anno ultimo rilascio,Durata (min),Popolarità
Cosa hai messo nel caffè?,Malika Ayane,2013,"3,882433333",39
Alla fine della strada,Orietta Berti,2000,"3,170383333",13
Baci baci baci,Fulminacci,2024,"3,69145",59
Il sole è tramontato,Giorgio Carnini,2019,"3,165533333",0
Il treno,Riccardo Cocciante,1979,"4,464433333",31
Io che ho te,New Trolls,2013,"2,676216667",29
Le belle donne,Stadio,2007,"3,6771",17
Meglio una sera (Piangere da solo),Claudio Villa,2008,"3,470666667",8
Non c'è che lei,Nek,1997,"4,434883333",20
Se tu ragazzo mio,Tutte Le Cose Inutili,2023,"4,627616667",15
Una famiglia,La Comparsa Del Jona,2020,"3,112533333",25
La prima cosa bella,Nicola Di Bari,2000,"3,1811",49
L'arca di Noè,Iva Zanicchi,2010,"3,601666667",28
Eternità,Ornella Vanoni,2008,"3,776",32
La spada nel cuore,Little Tony,1990,"3,996666667",42
Romantico blues,Engelbert Humperdinck,2021,"3,393333333",36
Pa' diglielo a ma',Nada,2001,"3,61755",11
Taxi,Tony Effe,2023,"2,391666667",72
Tipitipitì,Orietta Berti,1998,"2,842433333",8
Sole pioggia e vento,Perigeo,1973,"9,634433333",4
L'amore è una colomba,Gianni Nazzaro,1990,"3,246216667",7
Hippy,Fausto Leali,1970,"3,397133333",1
Canzone blu,Peter White,2023,"2,539666667",43
Re di cuori,Yosef,2023,"2,846766667",22
Accidenti,Rocky Roberts,2002,"2,895766667",16
Ahi ahi ragazzo!,Rita Pavone,2009,"2,632666667",16
Ahi! Che male che mi fai,Paolo Mengoli,2000,"3,853333333",0
Che effetto mi fa,DOXX,2021,"2,904166667",29
Ciao anni verdi,Rosanna Fratello,2001,"3,46555",3
Io mi fermo qui,Ornella Vanoni,2001,"3,61555",31
L'addio,Giuni Russo,1981,"4,847333333",30
La stagione di un fiore,Gens,2006,"3,645783333",1
Nevicava a Roma,Renato Rascel,1963,"3,346216667",2
Occhi a mandorla,Viross,2022,"3,458333333",1
Ora vivo,I Bisaquei,2012,"2,242",0
Serenata,Jovanotti,1994,"5,176666667",51
Che sarà,Achille Lauro,2022,"3,105716667",49
4 marzo 1943,Lucio Dalla,1970,"3,702666667",58
Com'è dolce la sera,Rosanna Fratello,2013,"3,622216667",6
Sotto le lenzuola,Gigi D'Alessio,1997,"4,1611",47
Come stai?,Karma,2021,"3,25445",19
Bianchi cristalli sereni,Don Backy,1996,"3,986466667",13
"13, storia d'oggi",Al Bano,2014,"4,2811",2
Rose nel buio,Gigliola Cinquetti,2009,"3,182433333",2
Ninna nanna (Cuore mio),Dik Dik,2002,"4,364666667",9
L'ultimo romantico,Pino Donaggio,2013,"3,854666667",27
La folle corsa,Lucio Battisti,2020,"5,726",20
Una storia,Eros Ramazzotti,2014,"4,138",49
Il sorriso il paradiso,Capitolo 6,2021,"3,265566667",7
Amsterdam,Nothing But Thieves,2017,"4,537333333",69
Andata e ritorno,Gianni Bismark,2023,"2,48025",39
I ragazzi come noi,I Corvi,2003,"3,7744",1
Il dirigibile,Iubal Kollettivo Musicale,2009,"3,76955",1
Il viso di lei,Ada Mori,2021,"2,685766667",0
Lo schiaffo,I Brutos,2011,"4,005016667",2
L'ora giusta,CoCo,2016,"3,156116667",23
Non dimenticarti di me,Pooh,2000,"4,6371",33
Occhi bianchi e neri,Pio Trebbi,2014,"3,860316667",0
Santo Antonio Santo Francisco,Piero Focaccia,1997,"3,158633333",0
Come le viole,Peppino Gagliardi,1995,"3,48355",44
Il re di denari,Nada,2001,"2,598666667",32
Vado a lavorare,Gianni Morandi,1994,"3,616666667",11
Non voglio innamorarmi mai,Claudio Baglioni,1989,"3,298883333",36
Jesahel,Delirium,1971,"4,164433333",38
Montagne verdi,Marcella Bella,1972,"3,200666667",43
Piazza Grande,Lucio Dalla,2006,"3,2151",45
Gira l'amore (Caro bebè),Gigliola Cinquetti,2009,"2,812",16
Ti voglio,Luchè,2012,"3,9884",51
Un diadema di ciliegie,Ricchi E Poveri,2016,"4,133766667",10
Mediterraneo,Mango,1992,"3,933566667",50
Se non fosse fra queste mie braccia lo inventerei,Max Pezzali,2020,"3,8678",45
Un calcio alla città,Domenico Modugno,2013,"4,054666667",19
Amici mai,Antonello Venditti,2009,"5,2631",53
Ci sono giorni,4Tu,2019,"0,654866667",17
Ciao amico ciao,Franco Andolfo,2000,"3,02155",22
Era bello il mio ragazzo,Anna Identici,1972,"3,293983333",7
Forestiero,ISoci,2023,"2,891966667",1
Il mio cuore se ne va,Carla Bissi,1973,"3,16555",2
L'uomo e il cane,Dolores Olioso,2016,"2,290433333",1
La foresta selvaggia,Meditazione zen musica,2017,"3,683516667",0
Per amore ricomincerei,Roberto Vecchioni,1991,"4,744883333",35
Portami via,Fabrizio Moro,2017,"3,236883333",56
Preghiera,Fabrizio De André,1967,"3,5211",45
Rimpianto,Aleam,2023,"2,467283333",26
Un gatto nel blu,Roberto Carlos,1976,"3,842883333",28
Un viaggio in Inghilterra,Strana Officina,2017,"3,75155",4
Come un ragazzino,Peppino Gagliardi,2015,"3,758666667",36
